Andorian	TOS	AMC-1	1130	III	-	VII	0.4	10	LLL/83	23	2228
Andorian	TOS	AMC-2	2850	IV	-	XV 	1.2	25	LLL/81	59	2239
Andorian	TOS	AMC-3	3380	IV	-	XVI	0.8	30	LLL/80	71	2241
Andorian	TOS	AMC-4	3800	VII	-	XII	1.1	40	LLL/71	60	2243
Andorian	TOS	AMC-5	4700	VIII	-	XV	1.5	50	LLL/58	71	2244
Andorian	TOS	AMC-6	4280	IX	-	XVI	1.8	55	LLL/56	90	2246
Andorian	TOS	AMC-7	6300	VIII	-	XVII	2.7	60	LLL/46	98	2251
Andorian	TOS	AMC-8	5840	IX	-	XX	2.5	75	LLL/36	122	2254
Andorian	TOS	AMC-9	7000	X	-	XIX	2.1	90	LLL/20	147	2270
Andorian	TOS	AMC-10	6070	XI	-	XX	2.6	120	RRR/18	196	2276
Andorian	TOS	AMC-11	10890	X	-	XVIII	3.2	140	RRR/12	228	2283
Andorian	TOS	AMC-12	11200	XII	-	XX	3.8	170	RRR/6	277	2289
Andorian	TNG	AMC-13	12520	XI	-	XVII	3.9	190	RRR/5	318	2330
Andorian	TNG	AMC-14	13070	X	-	XIX	4.3	200	RRR/5	346	2331
Andorian	TNG	AMC-15	11600	XII	-	XX	4.5	220	RRR/4	427	2331
Andorian	TNG	AMC-16	5950	VII	-	XIX	2.8	115	RRR/38	205	2335
Andorian	TNG	AMC-17	17850	XIII	-	XX	6.1	300	RRR/3	460	2343
Andorian	TNG	AMC-18	23850	XIV	-	XX	7.9	340	RRR/2	521	2352
Andorian	TNG	AMC-19	26100	XIV	-	XX	8.5	370	RRR/2	567	2355
Andorian	TNG	AMC-20	27450	XV	-	XX	9.0	390	RRR/1	598	2357
Cardassians	TOS	CO-1	60	I	-	III	0.2	3	RRR/56	106	2240
Cardassians	TOS	CO-2	1775	III	-	IV	1.0	35	RRR/41	305	2243
Cardassians	TOS	CO-3	4200	IV	-	IX	1.4	50	RRR/38	421	2245
Cardassians	TOS	CO-4	4724	V	-	XIV	2.2	60	RRR/25	986	2248
Cardassians	TOS	CO-5	5000	VI	-	XII	2.8	80	RRR/23	1198	2252
Cardassians	TOS	CO-6	5860	VIII	-	XIV	3.0	100	RRR/17	3170	2261
Cardassians	TOS	CO-6a	6980	IX	-	XV	3.1	120	RRR/10	3816	2272
Cardassians	TOS	CO-7	8650	X	-	XX	3.5	135	RRR/8	5187	2278
Cardassians	TOS	CO-8	9820	X	-	XII	3.6	155	RRR/7	6278	2283
Cardassians	TOS	CO-9	10725	XI	-	XX	3.8	180	RRR/5	6500	2288
Cardassians	TOS	CO-10	11050	XI	-	XV	4.0	210	RRR/3	8750	2291
Cardassians	TOS	CO-10a	11750	XII	-	XVII	4.2	240	RRR/2	9961	2302
Cardassians	TOS	CO-11	21850	XIII	-	XX	5.4	290	RRR/1	9075	2310
Cardassians	TOS	CO-12	24200	XVI	-	XX	5.5	320	RRR/1	8020	2323
Cardassians	TNG	CI-1	1565	III	-	XI	0.7	40	RRR/45	1000	2331
Cardassians	TNG	CI-2	2745	IV	-	XIII	1.1	70	RRR/34	1760	2337
Cardassians	TNG	CI-2a	3335	VI	-	XIV	1.6	85	RRR/32	2140	2335
Cardassians	TNG	CI-2b	4310	VIII	-	XVII	1.8	110	RRR/29	2760	2336
Cardassians	TNG	CI-3	7835	X	-	XIX	3.8	200	RRR/15	5000	2337
Cardassians	TNG	CI-4	9785	XI	-	XVIII	4.8	250	RRR/14	6260	2338
Cardassians	TNG	CI-5	10990	XII	-	XX	5.4	280	RRR/12	7000	2342
Cardassians	TNG	CI-6	14220	XIII	-	XX	6.9	360	RRR/8	9000	2344
Cardassians	TNG	CI-7	15760	XIV	-	XX	6.8	400	RRR/3	10020	2364
Cardassians	TNG	CI-7a	20380	XVI	-	XX	9.0	520	RRR/1	13020	2370
Dominion	TOS	JHC-1	390	I	-	II	0.2	5	III/1	28	2189
Dominion	TOS	JHC-2	790	I	-	IV	0.4	10	III/1	52	2203
Dominion	TOS	JHC-3	1570	II	-	VII	0.7	20	III/1	100	2213
Dominion	TOS	JHC-4	2350	III	-	XI	1.1	30	III/1	152	2221
Dominion	TOS	JHC-5	3510	IV	-	XIV	1.4	45	III/1	224	2229
Dominion	TOS	JHC-6	4700	V	-	XV	2.1	60	III/1	300	2236
Dominion	TOS	JHC-7	6260	VI	-	XVII	2.3	80	III/1	400	2245
Dominion	TOS	JHC-8	7050	VII	-	XVI	3.0	90	III/1	452	2248
Dominion	TOS	JHC-9	9430	VIII	-	XX	3.3	120	III/1	604	2253
Dominion	TOS	JHC-10	10580	IX	-	XVIII	4.2	135	III/1	676	2259
Dominion	TOS	JHC-11	7660	X	-	XIX	4.5	150	III/1	752	2264
Dominion	TOS	JHC-12	8625	XII	-	XX	6.1	170	III/1	852	2270
Dominion	TOS	JHC-13	9910	XII	-	XVIII	5.4	195	III/1	976	2273
Dominion	TOS	JHC-14	11500	XIII	-	XX	6.7	225	III/1	1128	2289
Dominion	TOS	JHC-15	13100	XVI	-	XIX	7.5	255	III/1	1276	2309
Dominion	TOS	JHC-16	15800	XV	-	XX	9.3	310	III/1	1552	2329
Dominion	TNG	JHC-17	6250	VII	-	XIII	3.6	140	III/1	820	2330
Dominion	TNG	JHC-18	18500	XVII	-	XX	11.3	365	III/1	1824	2332
Dominion	TNG	JHC-19	20800	XVIII	-	XX	12.1	410	III/1	2052	2348
Dominion	TNG	JHC-20	8155	IX	-	XVI	4.9	160	III/1	963	2249
Dominion	TNG	JHC-21	9985	XI	-	XVIII	5.4	210	III/1	1067	2252
Dominion	TNG	JHC-22	10600	XII	-	XIX	6.9	240	III/1	1262	2254
Dominion	TNG	JHC-23	17250	XIII	-	XX	10.3	340	III/1	1758	2256
Dominion	TNG	JHC-24	29650	XVII	-	XX	18.9	580	III/1	2904	2357
Dominion	TNG	JHC-25	31700	XVIII	-	XX	16.5	620	III/1	3104	2360
Edoan	TOS	ECC-1	160	I	-	II	0.1	2	RRR/99	3	2220
Edoan	TOS	ECC-2	310	II	-	VII	0.2	4	RRR/91	5	2228
Edoan	TOS	ECC-3	550	IV	-	XIV	0.5	7	RRR/86	9	2236
Edoan	TOS	ECC-4	1180	III	-	XVIII	0.9	15	RRR/69	20	2240
Edoan	TOS	ECC-5	2730	IV	-	XVI 	1.3	35	RRR/59	44	2245
Edoan	TOS	ECC-6	3930	VIII	-	XIX	2.1	50	RRR/50	63	2253
Edoan	TOS	ECC-7	5110	IX	-	XX	2.5	65	RRR/45	82	2266
Edoan	TOS	ECC-8	6240	X 	-	XIX	3.5	80	RRR/43	100	2273
Edoan	TOS	ECC-9	7050	XI	-	XX	3.7	90	RRR/41	113	2286
Edoan	TNG	ECC-10	8250	VIII	-	XVII	2.8	120	RRR/39	156	2330
Edoan	TNG	ECC-11	9500	X	-	XVIII	3.9	155	RRR/37	188	2332
Edoan	TNG	ECC-12	13750	XI	-	XIX	5.1	185	RRR/32	261	2335
Edoan	TNG	ECC-13	18300	XII	-	XX	6.0	260	RRR/26	399	2337
Edoan	TNG	ECC-14	19650	XIV	-	XX	6.4	325	RRR/17	498	2357
Edoan	TNG	EIC-1	2475	V	-	XX	1.7	75	RRR/42	120	2332
Edoan	TNG	EIC-2	4950	VIII	-	XX	3.4	150	RRR/27	245	2336
Edoan	TNG	EIC-3	6500	X	-	XX	4.6	200	RRR/23	327	2337
Edoan	TNG	EIC-4	2845	VI	-	XX	1.9	85	RRR/42	161	2341
Federation	TOS	L-12	50	I	-	II	0.1	2	LLL/90	4	2236
Federation	TOS	L-12A	30	I	-	IV	0.1	None	LLL/100	2	2242
Federation	TOS	L-13	450	I	-	IX	0.3	5	LLL/88	11	2241
Federation	TOS	L-13A	250	I	-	XIV	0.2	None	LLL/100	4	2247
Federation	TOS	L-14	1050	II	-	XII	0.5	10	LLL/85	17	2242
Federation	TOS	L-14A	550	II	-	XIV	0.3	None	LLL/100	6	2266
Federation	TOS	M-1	2900	IV	-	XV	0.9	30	LLL/82	48	2243
Federation	TOS	M-1A	1500	III	-	XX	0.5	None	LLL/99	16	2267
Federation	TOS	M-2	3800	VI	-	XII	1.1	40	LLL/74	60	2244
Federation	TOS	M-2A	2000	IV	-	XX	0.7	None	LLL/98	20	2268
Federation	TOS	M-3	4700	VIII	-	XV	1.5	50	LLL/60	71	2245
Federation	TOS	M-3A	2350	IV	-	XX	1.2	None	LLL/96	24	2269
Federation	TOS	M-3B	5000	VI	-	XV	1.6	90	RRR/30	140	2301
Federation	TOS	M-4	5750	IX	-	XVII	2.0	70	LLL/42	52	2252
Federation	TOS	M-4A	2900	IV	-	XX	1.7	None	LLL/90	61	2269
Federation	TOS	M-4B	5900	VII	-	XVII	2.1	110	RRR/28	170	2305
Federation	TOS	M-6	6000	X	-	XX	2.0	90	LLL/20	150	2269
Federation	TOS	M-6A	6100	IX	-	XVII	2.1	130	RRR/30	200	2272
Federation	TOS	M-7	11500	IX	-	XX	3.0	150	None	230	2280
Federation	TOS	M-7A	11500	X	-	XX	3.1	180	RRR/18	276	2288
Federation	TOS	M-7B	11500	XII	-	XIX	3.1	190	RRR/12	283	2310
Federation	TOS	M-8	12000	XI	-	XIX	3.4	210	RRR/09	323	2284
Federation	TOS	M-8A	12000	XIII	-	XX	3.5	220	RRR/08	343	2312
Federation	TNG	M-8B	14250	XII	-	XX	4.9	240	RRR/31	368	2331
Federation	TNG	M-9	15000	XIV	-	XX	4.0	250	RRR/30	387	2320
Federation	TNG	M-9A	18300	XII	-	XX	6.0	260	RRR/29	399	2338
Federation	TNG	M-9B	17850	XIII	-	XX	6.1	300	RRR/26	460	2343
Federation	TNG	M-10	22500	XIV	-	XX	7.4	320	RRR/19	491	2347
Federation	TNG	M-11	23250	XIV	-	XX	7.6	330	RRR/18	506	2350
Federation	TNG	M-12	23850	XIV	-	XX	7.9	340	RRR/17	521	2352
Federation	TNG	M-12a	19650	XIV	-	XX	6.4	325	RRR/19	498	2359
Federation	TNG	M-13	26100	XIV	-	XX	8.5	370	RRR/14	567	2355
Federation	TNG	M-14	27450	XV	-	XX	9.0	390	RRR/6	598	2357
