Andorian	TOS	AWA-1	2600	5	AMC-1	B	/	C	0.4	2228
Andorian	TOS	AWA-2	2600	9	AMC-1	B	/	D	0.4	2238
Andorian	TOS	AWB-1	14000	8	AMC-1	H	/	J	1.7	2244
Andorian	TOS	AWB-2	14000	11	AMC-2	H	/	J	1.7	2254
Andorian	TOS	AWC-1	45000	12	AMC-2	F	/	H	2.9	2245
Andorian	TOS	AWD-1	50000	10	AMC-1	K	/	F	4.0	2247
Andorian	TOS	AWD-2	50000	16	AMC-3	L	/	F	4.0	2257
Andorian	TOS	AWE-1	40000	8	AMC-1	F	/	I	3.2	2249
Andorian	TOS	AWE-2	40000	12	AMC-2	F	/	J	3.2	2253
Andorian	TOS	AWF-1	37000	13	AMC-3	E	/	F	3.6	2264
Andorian	TOS	AWF-2	37000	15	AMC-3	E	/	F	3.6	2266
Andorian	TOS	AWG-1	68900	32	AMC-7	H	/	K	6.4	2279
Andorian	TNG	AWH-1	42500	24	AMC-5	D	/	F	3.6	2330
Andorian	TNG	AWH-2	42500	26	AMC-6	D	/	F	3.6	2340
Andorian	TNG	AWI-1	39125	18	AMC-4	E	/	F	4.2	2332
Andorian	TNG	AWI-2	39125	20	AMC-4	E	/	F	4.2	2337
Andorian	TNG	AWI-3	39125	26	AMC-6	E	/	F	4.2	2342
Andorian	TNG	AWJ-1	84125	41	AMC-8	G	/	I	6.9	2334
Andorian	TNG	AWJ-2	84125	44	AMC-8	G	/	I	6.9	2336
Andorian	TNG	AWK-1	80750	45	AMC-8	D	/	F	9.5	2342
Andorian	TNG	AWL-1	48000	27	AMC-4	D	/	E	3.9	2363
Andorian	TNG	AWL-2	48000	31	AMC-5	D	/	E	3.9	2365
Cardassian	TOS	CWA-1	2100	4	CO-1	E	/	F	0.1	2243
Cardassian	TOS	CWA-2	2100	6	CO-2	F	/	H	0.1	2244
Cardassian	TOS	CWB-1	11000	7	CO-2	K	/	M	1.1	2244
Cardassian	TOS	CWB-2	11000	9	CO-2	L	/	M	1.1	2250
Cardassian	TOS	CWB-3	11000	12	CO-2	M	/	N	1.1	2253
Cardassian	TOS	CWC-1	42000	13	CO-2	O	/	M	2.6	2248
Cardassian	TOS	CWC-2	42000	16	CO-2	O	/	M	2.6	2261
Cardassian	TOS	CWD-1	48000	11	CO-2	L	/	M	3.9	2249
Cardassian	TOS	CWD-2	48000	14	CO-2	L	/	N	3.9	2253
Cardassian	TOS	CWD-3	48000	16	CO-2	M	/	O	3.9	2256
Cardassian	TOS	CWD-4	48000	18	CO-2	M	/	O	3.9	2268
Cardassian	TOS	CWF-1	51000	19	CO-2	G	/	J	4.7	2264
Cardassian	TOS	CWF-2	51000	21	CO-2	G	/	J	4.7	2276
Cardassian	TOS	CWG-1	58000	23	CO-2	E	/	F	5.1	2272
Cardassian	TOS	CWG-2	58000	37	CO-3	E	/	F	5.1	2293
Cardassian	TOS	CWH-1	75000	31	CO-3	G	/	I	7.4	2307
Cardassian	TOS	CWH-2	75000	35	CO-3	G	/	I	7.4	2312
Cardassian	TOS	CWH-3	75000	41	CO-3	H	/	K	7.4	2329
Cardassian	TNG	CWI-1	56000	34	CO-3	J	/	K	5.5	2332
Cardassian	TNG	CWI-2	56000	38	CO-4	J	/	K	5.5	2339
Cardassian	TNG	CWJ-1	74000	45	CO-4	H	/	J	6.9	2335
Cardassian	TNG	CWJ-2	74000	46	CO-4	H	/	J	6.9	2341
Cardassian	TNG	CWJ-3	74000	48	CO-5	H	/	K	6.9	2350
Cardassian	TNG	CWK-1	45000	24	CO-2	G	/	H	4.1	2336
Cardassian	TNG	CWK-2	45000	26	CO-2	G	/	H	4.1	2338
Cardassian	TNG	CWK-3	45000	27	CO-3	G	/	H	4.1	2340
Cardassian	TNG	CWL-1	86000	52	CO-5	G	/	I	7.8	2340
