Andorian	TOS	AWA-1	7800	4	ea.	AMC-2	D	/	E	1.2	2228
Andorian	TOS	AWA-2	7800	8	ea.	AMC-5	D	/	F	1.2	2238
Andorian	TOS	AWB-1	42000	7	ea.	AMC-4	I	/	L	5.1	2244
Andorian	TOS	AWB-2	42000	10	ea.	AMC-5	I	/	L	5.1	2254
Andorian	TOS	AWC-1	135000	11	ea.	AMC-6	H	/	I	8.7	2245
Andorian	TOS	AWD-1	150000	9	ea.	AMC-7	L	/	G	12.0	2247
Andorian	TOS	AWD-2	150000	15	ea.	AMC-9	M	/	G	12.0	2257
Andorian	TOS	AWE-1	120000	7	ea.	AMC-4	G	/	J	9.6	2249
Andorian	TOS	AWE-2	120000	11	ea.	AMC-5	G	/	K	9.6	2253
Andorian	TOS	AWF-1	111000	12	ea.	AMC-6	H	/	I	10.8	2264
Andorian	TOS	AWF-2	111000	14	ea.	AMC-8	H	/	I	10.8	2266
Andorian	TOS	AWG-1	206700	30	ea.	AMC-10	L	/	M	19.2	2279
Andorian	TNG	AWH-1	127500	24	ea.	AMC-10	E	/	G	10.8	2330
Andorian	TNG	AWH-2	127500	26	ea.	AMC-11	E	/	G	10.8	2340
Andorian	TNG	AWI-1	117375	18	ea.	AMC-8	E	/	F	12.6	2332
Andorian	TNG	AWI-2	117375	20	ea.	AMC-10	E	/	F	12.6	2337
Andorian	TNG	AWI-3	117375	26	ea.	AMC-12	E	/	F	12.6	2342
Andorian	TNG	AWJ-1	252375	37	ea.	AMC-15	G	/	I	20.7	2334
Andorian	TNG	AWJ-2	252375	40	ea.	AMC-15	G	/	I	20.7	2336
Andorian	TNG	AWK-1	242250	41	ea.	AMC-17	F	/	G	28.5	2342
Andorian	TNG	AWL-1	144000	26	ea.	AMC-11	F	/	G	11.7	2363
Andorian	TNG	AWL-2	144000	30	ea.	AMC-11	F	/	G	11.7	2365
Cardassian	TOS	CWA-1	6300	4	ea.	CO-1	F	/	G	0.3	2243
Cardassian	TOS	CWA-2	6300	6	ea.	CO-1	G	/	I	0.3	2244
Cardassian	TOS	CWB-1	33000	7	ea.	CO-1	L	/	N	3.3	2244
Cardassian	TOS	CWB-2	33000	9	ea.	CO-1	M	/	N	3.3	2250
Cardassian	TOS	CWB-3	33000	12	ea.	CO-2	N	/	O	3.3	2253
Cardassian	TOS	CWC-1	126000	13	ea.	CO-3	P	/	N	7.8	2248
Cardassian	TOS	CWC-2	126000	16	ea.	CO-4	P	/	N	7.8	2261
Cardassian	TOS	CWD-1	144000	11	ea.	CO-4	M	/	N	11.7	2249
Cardassian	TOS	CWD-2	144000	14	ea.	CO-3	M	/	O	11.7	2253
Cardassian	TOS	CWD-3	144000	16	ea.	CO-4	N	/	P	11.7	2256
Cardassian	TOS	CWD-4	144000	18	ea.	CO-5	N	/	P	11.7	2268
Cardassian	TOS	CWE-1	153000	19	ea.	CO-5	H	/	K	14.1	2264
Cardassian	TOS	CWE-2	153000	21	ea.	CO-5	H	/	K	14.1	2276
Cardassian	TOS	CWF-1	174000	23	ea.	CO-6	F	/	G	15.3	2272
Cardassian	TOS	CWF-2	174000	37	ea.	CO-8	F	/	G	15.3	2293
Cardassian	TOS	CWG-1	225000	31	ea.	CO-8	H	/	J	22.2	2307
Cardassian	TOS	CWG-2	225000	35	ea.	CO-8	H	/	J	22.2	2312
Cardassian	TOS	CWG-3	225000	41	ea.	CO-10a	I	/	L	22.2	2329
Cardassian	TNG	CWI-1	168000	32	ea.	CO-8	L	/	M	16.5	2332
Cardassian	TNG	CWI-2	168000	36	ea.	CO-9	L	/	M	16.5	2339
Cardassian	TNG	CWJ-1	222000	43	ea.	CO-10a	J	/	L	20.7	2335
Cardassian	TNG	CWJ-2	222000	44	ea.	CO-9	J	/	L	20.7	2341
Cardassian	TNG	CWJ-3	222000	46	ea.	CO-8	J	/	M	20.7	2350
Cardassian	TNG	CWK-1	135000	23	ea.	CO-7	I	/	J	12.3	2336
Cardassian	TNG	CWK-2	135000	25	ea.	CO-5	I	/	J	12.3	2338
Cardassian	TNG	CWK-3	135000	26	ea.	CO-5	I	/	J	12.3	2340
Cardassian	TNG	CWL-1	258000	49	ea.	CO-10	I	/	K	23.4	2340
Cardassian	TNG	CWL-2	258000	51	ea.	CO-11	I	/	K	23.4	2346
Cardassian	TNG	CWM-1	282000	54	ea.	CO-11	J	/	K	24.9	2343
Cardassian	TNG	CWM-2	282000	57	ea.	CO-11	J	/	K	24.9	2352
Cardassian	TNG	CWN-1	273000	52	ea.	CO-10a	J	/	L	23.1	2348
Cardassian	TNG	CWN-2	273000	60	ea.	CO-10a	J	/	L	23.1	2358
Cardassian	TNG	CWO-1	307500	59	ea.	CO-12	M	/	M	26.7	2354
Cardassian	TNG	CWO-2	307500	62	ea.	CO-10a	M	/	M	26.7	2367
Cardassian	TNG	CWP-1	336000	63	ea.	CO-11	L	/	M	29.1	2363
Cardassian	TNG	CWP-2	336000	65	ea.	CO-12	L	/	M	29.1	2366
Cardassian	TNG	CWP-3	336000	67	ea.	CO-12	L	/	M	29.1	2380
Dominion	TOS	JVIA-1	4800	3	ea.	JHC-3	H	/	I	1.8	2189
Dominion	TOS	JVIA-2	4800	5	ea.	JHC-4	H	/	I	1.8	2213
Dominion	TOS	JVIB-1	60000	7	ea.	JHC-4	I	/	J	4.5	2196
Dominion	TOS	JVIB-2	60000	9	ea.	JHC-4	I	/	J	4.5	2218
Dominion	TOS	JVIB-3	60000	13	ea.	JHC-7	J	/	J	4.5	2223
Dominion	TOS	JVIB-4	60000	15	ea.	JHC-5	J	/	K	4.5	2226
Dominion	TOS	JVIC-1	90000	11	ea.	JHC-6	I	/	J	5.1	2227
Dominion	TOS	JVIC-2	90000	17	ea.	JHC-8	J	/	K	5.1	2240
Dominion	TOS	JVID-1	120000	19	ea.	JHC-8	J	/	L	5.7	2253
Dominion	TOS	JVID-2	120000	20	ea.	JHC-9	J	/	L	5.7	2262
